State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±),Population Percentage - Black,Population Percentage - Hispanic/Latino
Illinois,Pulaski County,Rural area,23.50%,3.30%,,
Ohio,Vinton County,Rural area,23.50%,3.50%,,
Mississippi,Wilkinson County,Rural area,23.40%,5.60%,,
Florida,Liberty County,Rural area,23.40%,5.30%,14.10%,4.60%
Ohio,Perry County,Metro area,23.40%,2.50%,,
Arkansas,Chicot County,Rural area,23.40%,3.90%,,
Virginia,Hopewell city,Metro area,23.30%,3.80%,,
West Virginia,Mercer County,Small town,23.30%,1.90%,,
Oklahoma,Jefferson County,Rural area,23.30%,2.70%,,
Alabama,Macon County,Rural area,23.30%,2.80%,,
Oregon,Coos County,Small town,23.30%,1.90%,,
Oregon,Josephine County,Metro area,23.20%,1.70%,,
Tennessee,Campbell County,Metro area,23.10%,2.10%,,
Virginia,Danville city,Small town,23.10%,2.30%,,
Florida,Calhoun County,Rural area,23.00%,4.00%,13.40%,6.00%
Arkansas,St. Francis County,Small town,23.00%,2.70%,,
Georgia,Heard County,Metro area,23.00%,3.60%,,
Colorado,Alamosa County,Rural area,22.90%,3.40%,,
Tennessee,Morgan County,Metro area,22.90%,3.10%,,
Texas,Kenedy County,Small town,22.80%,17.80%,,
Maine,Somerset County,Rural area,22.80%,2.00%,,
Alabama,Choctaw County,Rural area,22.80%,3.40%,,
Michigan,Wayne County,Metro area,22.70%,0.30%,,
Louisiana,Morehouse Parish,Small town,22.70%,3.00%,,
Virginia,Martinsville city,Small town,22.70%,4.10%,,
Kentucky,Rowan County,Rural area,22.60%,3.40%,,
Tennessee,Union County,Metro area,22.60%,3.30%,,
Florida,Hardee County,Small town,22.60%,3.80%,6.40%,43.90%
Ohio,Meigs County,Rural area,22.60%,2.10%,,
North Carolina,Anson County,Rural area,22.60%,2.30%,,
Minnesota,Mahnomen County,Rural area,22.60%,1.90%,,
Ohio,Adams County,Rural area,22.60%,2.60%,,
Tennessee,Grundy County,Rural area,22.60%,3.10%,,
Maine,Washington County,Rural area,22.60%,1.50%,,
Georgia,Franklin County,Rural area,22.50%,2.80%,,
Georgia,Macon County,Rural area,22.50%,4.00%,,
Alabama,Bullock County,Rural area,22.50%,5.10%,,
New York,Kings County,Metro area,22.50%,0.30%,,
Louisiana,Franklin Parish,Rural area,22.40%,3.30%,,
Washington,Adams County,Small town,22.40%,3.70%,,
South Carolina,Lee County,Rural area,22.40%,3.20%,,
Texas,Willacy County,Small town,22.30%,3.80%,,
New Mexico,Sierra County,Rural area,22.30%,3.20%,,
Colorado,Conejos County,Rural area,22.30%,2.80%,,
Oklahoma,Adair County,Rural area,22.30%,2.30%,,
Tennessee,Fentress County,Rural area,22.30%,3.70%,,
West Virginia,Wayne County,Metro area,22.30%,2.40%,,
West Virginia,Wirt County,Metro area,22.30%,4.00%,,
Arkansas,Monroe County,Rural area,22.30%,4.10%,,
Pennsylvania,Fayette County,Metro area,22.30%,0.90%,,
California,Tulare County,Metro area,22.20%,0.80%,,
Georgia,Schley County,Small town,22.20%,4.90%,,
Tennessee,Johnson County,Rural area,22.10%,3.50%,,
Georgia,Sumter County,Small town,22.10%,3.00%,,
Oregon,Crook County,Small town,22.00%,3.40%,,
Washington,Yakima County,Metro area,22.00%,0.90%,,
Ohio,Lawrence County,Metro area,22.00%,2.00%,,
Tennessee,Lewis County,Rural area,22.00%,5.40%,,
Kentucky,Casey County,Rural area,21.90%,3.70%,,
Georgia,Taliaferro County,Rural area,21.90%,5.80%,,
Louisiana,Evangeline Parish,Rural area,21.90%,2.50%,,
South Carolina,Marlboro County,Small town,21.90%,2.60%,,
Georgia,Candler County,Rural area,21.90%,4.60%,,
Tennessee,Cocke County,Small town,21.90%,2.40%,,
Kentucky,Carter County,Rural area,21.80%,2.90%,,
Georgia,Johnson County,Small town,21.80%,4.00%,,
Arizona,Navajo County,Small town,21.70%,1.30%,,
Georgia,Toombs County,Small town,21.70%,3.20%,,
Georgia,Grady County,Rural area,21.70%,3.00%,,
Washington,Cowlitz County,Metro area,21.70%,1.60%,,
Georgia,Clayton County,Metro area,21.70%,1.00%,,
South Carolina,Bamberg County,Rural area,21.60%,4.60%,,
Missouri,Butler County,Small town,21.60%,2.00%,,
Massachusetts,Hampden County,Metro area,21.60%,0.70%,,
Georgia,Colquitt County,Small town,21.60%,2.60%,,
Maryland,Dorchester County,Small town,21.60%,2.20%,,
Georgia,Stephens County,Small town,21.60%,3.50%,,
Kentucky,Martin County,Rural area,21.60%,5.00%,,
New Mexico,Chaves County,Small town,21.50%,1.70%,,
Virginia,Dickenson County,Small town,21.50%,2.80%,,
Georgia,McDuffie County,Metro area,21.50%,3.40%,,
Georgia,Worth County,Metro area,21.40%,3.30%,,
Alabama,Marengo County,Rural area,21.40%,3.70%,,
Missouri,Cedar County,Rural area,21.40%,3.80%,,
Virginia,Wise County,Small town,21.40%,2.00%,,
Mississippi,Jefferson Davis County,Rural area,21.40%,4.20%,,
Ohio,Morgan County,Rural area,21.40%,3.40%,,
North Carolina,Warren County,Rural area,21.30%,2.90%,,
California,Imperial County,Metro area,21.30%,1.40%,,
Florida,Union County,Rural area,21.30%,3.70%,20.20%,5.70%
Texas,Frio County,Rural area,21.30%,5.50%,,
West Virginia,Raleigh County,Metro area,21.30%,1.70%,,
Ohio,Ross County,Small town,21.30%,1.80%,,
Illinois,Franklin County,Rural area,21.20%,1.60%,,
Tennessee,Henderson County,Rural area,21.20%,3.10%,,
West Virginia,Braxton County,Rural area,21.20%,3.50%,,
Kentucky,Whitley County,Small town,21.20%,2.80%,,
Kentucky,Pike County,Rural area,21.10%,1.90%,,
Oregon,Umatilla County,Small town,21.10%,1.70%,,
Louisiana,Iberia Parish,Metro area,21.10%,1.80%,,
South Dakota,Jackson County,Rural area,21.10%,4.20%,,
Nebraska,Thurston County,Rural area,21.10%,2.20%,,
Arkansas,Bradley County,Rural area,21.10%,3.10%,,
Georgia,Webster County,Rural area,21.10%,6.10%,,
Georgia,Meriwether County,Metro area,21.00%,3.00%,,
Illinois,Marion County,Small town,21.00%,1.80%,,
Oklahoma,Haskell County,Rural area,21.00%,1.80%,,
Arkansas,Jackson County,Rural area,21.00%,2.90%,,
Florida,Putnam County,Small town,20.90%,2.00%,16.30%,10.10%
Texas,Crosby County,Metro area,20.90%,3.20%,,
Montana,Glacier County,Rural area,20.90%,3.20%,,
Oklahoma,McIntosh County,Rural area,20.90%,2.30%,,
Texas,El Paso County,Metro area,20.90%,0.70%,,
West Virginia,Fayette County,Metro area,20.80%,2.10%,,
South Dakota,Bennett County,Rural area,20.80%,4.60%,,
Oklahoma,Okmulgee County,Metro area,20.80%,1.40%,,
Missouri,Washington County,Rural area,20.80%,2.80%,,
Louisiana,Tangipahoa Parish,Metro area,20.80%,1.60%,,
Georgia,Brantley County,Metro area,20.70%,3.60%,,
Kentucky,Bath County,Small town,20.70%,3.30%,,
Oregon,Douglas County,Small town,20.70%,1.50%,,
Oklahoma,Pushmataha County,Rural area,20.70%,2.00%,,
Louisiana,Webster Parish,Metro area,20.70%,2.50%,,
Arkansas,Mississippi County,Small town,20.70%,2.10%,,
West Virginia,Nicholas County,Rural area,20.70%,3.20%,,
Florida,DeSoto County,Small town,20.70%,2.40%,12.10%,31.50%
Maine,Piscataquis County,Rural area,20.70%,2.40%,,
Maine,Aroostook County,Rural area,20.60%,1.20%,,
Michigan,Lake County,Rural area,20.60%,2.10%,,
New Mexico,Colfax County,Rural area,20.60%,3.90%,,
Mississippi,Attala County,Rural area,20.60%,2.90%,,
Oklahoma,Muskogee County,Small town,20.60%,1.10%,,
West Virginia,Roane County,Rural area,20.60%,2.50%,,
South Carolina,Orangeburg County,Small town,20.60%,1.70%,,
Oregon,Lincoln County,Small town,20.60%,1.50%,,
New Mexico,Hidalgo County,Rural area,20.50%,4.00%,,
Florida,Taylor County,Rural area,20.50%,4.00%,21.90%,31.50%
Georgia,Charlton County,Rural area,20.50%,4.40%,,
Maryland,Allegany County,Metro area,20.50%,1.40%,,
Virginia,Brunswick County,Rural area,20.50%,3.70%,,
Arkansas,Scott County,Rural area,20.50%,3.80%,,
Florida,Osceola County,Metro area,20.40%,1.00%,,
Virginia,Nottoway County,Rural area,20.40%,4.40%,,
Louisiana,Grant Parish,Metro area,20.40%,3.50%,,
Oregon,Harney County,Rural area,20.40%,4.70%,,
Georgia,Berrien County,Rural area,20.40%,2.70%,,
Louisiana,De Soto Parish,Metro area,20.40%,2.80%,,
Kentucky,Nicholas County,Rural area,20.40%,4.30%,,
North Carolina,Hyde County,Rural area,20.30%,6.70%,,
Tennessee,Sequatchie County,Metro area,20.30%,3.00%,,
Georgia,Pulaski County,Metro area,20.30%,4.90%,,
Oklahoma,Le Flore County,Metro area,20.30%,1.20%,,
Missouri,Shannon County,Rural area,20.30%,4.00%,,
Florida,Holmes County,Rural area,20.30%,2.60%,7.00%,3.00%
Colorado,Las Animas County,Rural area,20.30%,3.10%,,
North Dakota,Benson County,Rural area,20.30%,2.60%,,
Louisiana,Jackson Parish,Rural area,20.30%,3.30%,,
Louisiana,Iberville Parish,Metro area,20.20%,3.30%,,
Oklahoma,Okfuskee County,Rural area,20.20%,2.70%,,
Texas,Marion County,Rural area,20.20%,4.00%,,
Georgia,Atkinson County,Rural area,20.20%,3.80%,,
Florida,Suwannee County,Rural area,20.20%,3.20%,13.40%,9.60%
Missouri,Wayne County,Rural area,20.20%,3.20%,,
New Mexico,Grant County,Small town,20.20%,3.30%,,
Kentucky,Laurel County,Small town,20.10%,2.00%,,
Florida,Okeechobee County,Small town,20.10%,2.30%,8.70%,25.80%
Georgia,Peach County,Metro area,20.10%,3.10%,,
Mississippi,Choctaw County,Rural area,20.10%,3.70%,,
Illinois,Alexander County,Metro area,20.10%,3.90%,,
Oregon,Morrow County,Small town,20.10%,3.60%,,
Oklahoma,Greer County,Rural area,20.10%,3.40%,,
Michigan,Genesee County,Metro area,20.10%,0.60%,,
North Carolina,Wilson County,Small town,20.10%,1.40%,,
Tennessee,Meigs County,Rural area,20.00%,3.10%,,
Oklahoma,Sequoyah County,Metro area,20.00%,1.70%,,
Georgia,Burke County,Metro area,20.00%,3.20%,,
South Carolina,Abbeville County,Small town,20.00%,2.60%,,
Tennessee,Hardin County,Rural area,20.00%,2.20%,,
Missouri,Stoddard County,Rural area,19.90%,2.20%,,
Texas,Uvalde County,Small town,19.90%,3.30%,,
Georgia,Elbert County,Rural area,19.90%,3.00%,,
Missouri,Ripley County,Rural area,19.90%,3.00%,,
Georgia,Dodge County,Rural area,19.90%,2.70%,,
Louisiana,Sabine Parish,Rural area,19.90%,2.10%,,
Georgia,Screven County,Rural area,19.90%,3.40%,,
Wisconsin,Ashland County,Rural area,19.90%,2.20%,,
Mississippi,Amite County,Small town,19.80%,4.10%,,
Missouri,Scott County,Small town,19.80%,2.10%,,
Washington,Grays Harbor County,Small town,19.80%,1.80%,,
Florida,Madison County,Rural area,19.80%,3.30%,38.00%,5.90%
Texas,Angelina County,Small town,19.80%,1.90%,,
Oklahoma,Seminole County,Rural area,19.80%,1.50%,,
Mississippi,Leflore County,Small town,19.80%,2.30%,,
New York,Chautauqua County,Small town,19.80%,0.90%,,
South Carolina,Darlington County,Metro area,19.80%,2.10%,,
Georgia,Bibb County,Metro area,19.80%,1.10%,,
Mississippi,Webster County,Rural area,19.80%,2.90%,,
Hawaii,Hawaii County,Small town,19.70%,1.10%,,
Missouri,St. Louis city,Metro area,19.70%,0.70%,,
Virginia,Buchanan County,Rural area,19.70%,2.80%,,
Tennessee,McNairy County,Rural area,19.70%,2.60%,,
Kentucky,Todd County,Rural area,19.70%,3.30%,,
Georgia,Richmond County,Metro area,19.70%,1.00%,,
Georgia,Decatur County,Small town,19.70%,2.70%,,
Michigan,Ogemaw County,Rural area,19.60%,1.80%,,
Georgia,Seminole County,Rural area,19.60%,3.40%,,
Mississippi,Chickasaw County,Rural area,19.60%,3.30%,,
Alabama,Tallapoosa County,Small town,19.60%,2.20%,,
Arkansas,Crittenden County,Metro area,19.60%,2.00%,,
Ohio,Muskingum County,Small town,19.60%,1.30%,,
Oregon,Linn County,Metro area,19.60%,1.30%,,
Washington,Okanogan County,Rural area,19.60%,2.10%,,
Ohio,Hocking County,Metro area,19.50%,2.40%,,
Kentucky,Menifee County,Small town,19.50%,4.10%,,
North Carolina,Tyrrell County,Small town,19.50%,6.40%,,
Texas,Val Verde County,Small town,19.50%,2.60%,,
Oklahoma,Kiowa County,Rural area,19.50%,3.20%,,
Georgia,Montgomery County,Small town,19.50%,3.70%,,
Texas,Kinney County,Rural area,19.40%,7.60%,,
Washington,Pacific County,Rural area,19.40%,2.70%,,
Wisconsin,Milwaukee County,Metro area,19.40%,0.40%,,
Rhode Island,Providence County,Metro area,19.40%,0.60%,,
Georgia,Pierce County,Small town,19.40%,3.30%,,
Virginia,Bristol city,Metro area,19.30%,3.40%,,
New Mexico,Roosevelt County,Small town,19.30%,3.40%,,
Mississippi,Neshoba County,Rural area,19.30%,2.30%,,
Georgia,Jasper County,Metro area,19.30%,3.70%,,
South Carolina,Colleton County,Rural area,19.30%,2.30%,,
Mississippi,Simpson County,Metro area,19.20%,3.30%,,
California,Fresno County,Metro area,19.20%,0.40%,,
Oregon,Wasco County,Small town,19.20%,2.40%,,
Mississippi,Adams County,Small town,19.20%,2.30%,,
Kentucky,Hart County,Rural area,19.20%,2.60%,,
Georgia,Miller County,Rural area,19.20%,4.60%,,
Texas,Haskell County,Rural area,19.20%,4.40%,,
Texas,Wilbarger County,Small town,19.20%,4.40%,,
Georgia,Butts County,Metro area,19.20%,4.20%,,
Georgia,Wheeler County,Rural area,19.20%,5.60%,,
Ohio,Gallia County,Small town,19.20%,2.30%,,
Virginia,Galax city,Rural area,19.20%,5.70%,,
Missouri,Douglas County,Rural area,19.10%,3.60%,,
New Mexico,Torrance County,Metro area,19.10%,3.60%,,
Oregon,Lane County,Metro area,19.10%,0.70%,,
Tennessee,Unicoi County,Metro area,19.10%,3.30%,,
Illinois,Jackson County,Metro area,19.00%,1.60%,,
Mississippi,Copiah County,Metro area,19.00%,3.00%,,
North Carolina,Duplin County,Rural area,19.00%,2.00%,,
Texas,Collingsworth County,Rural area,19.00%,4.80%,,
Georgia,Thomas County,Small town,19.00%,2.10%,,
Georgia,Telfair County,Rural area,19.00%,3.10%,,
Tennessee,Grainger County,Metro area,19.00%,2.40%,,
Texas,Camp County,Rural area,19.00%,4.70%,,
Oklahoma,McCurtain County,Rural area,19.00%,1.30%,,
Washington,Lewis County,Small town,19.00%,1.40%,,
California,Merced County,Metro area,19.00%,0.90%,,
Virginia,Franklin city,Rural area,19.00%,5.00%,,
Oklahoma,Atoka County,Rural area,19.00%,1.80%,,
Arkansas,Nevada County,Small town,19.00%,4.30%,,
Alabama,Fayette County,Rural area,19.00%,2.90%,,
North Carolina,Sampson County,Rural area,18.90%,2.10%,,
Georgia,Laurens County,Small town,18.90%,1.90%,,
Mississippi,Covington County,Rural area,18.90%,4.10%,,
Georgia,McIntosh County,Metro area,18.90%,4.00%,,
Louisiana,Avoyelles Parish,Rural area,18.90%,2.50%,,
Texas,Terry County,Rural area,18.90%,4.60%,,
Pennsylvania,Clearfield County,Small town,18.90%,1.20%,,
North Carolina,Chowan County,Rural area,18.90%,3.80%,,
West Virginia,Lewis County,Rural area,18.90%,2.50%,,
Florida,Lafayette County,Rural area,18.90%,5.50%,15.80%,16.20%
Florida,Washington County,Rural area,18.80%,2.90%,15.00%,3.90%
Michigan,Clare County,Rural area,18.80%,1.70%,,
Arkansas,Jefferson County,Metro area,18.80%,1.70%,,
Kentucky,Fleming County,Rural area,18.80%,3.30%,,
Georgia,Appling County,Rural area,18.80%,3.10%,,
Ohio,Jackson County,Small town,18.80%,2.30%,,
Alabama,Russell County,Metro area,18.80%,2.00%,,
Pennsylvania,Cameron County,Rural area,18.80%,3.80%,,
Oregon,Tillamook County,Rural area,18.70%,2.80%,,
New Mexico,Valencia County,Metro area,18.70%,1.90%,,
Georgia,Ware County,Small town,18.70%,2.50%,,
South Carolina,Hampton County,Rural area,18.70%,2.80%,,
Georgia,Marion County,Metro area,18.70%,4.20%,,
Washington,Franklin County,Metro area,18.70%,1.70%,,
Washington,Pend Oreille County,Metro area,18.60%,2.60%,,
Oregon,Columbia County,Metro area,18.60%,1.90%,,
Ohio,Mahoning County,Metro area,18.60%,0.80%,,
Arkansas,Sharp County,Rural area,18.60%,2.40%,,
Louisiana,Acadia Parish,Metro area,18.60%,1.90%,,
Pennsylvania,Lawrence County,Small town,18.60%,1.00%,,
Texas,Falls County,Metro area,18.60%,3.90%,,
Alabama,Montgomery County,Metro area,18.60%,0.80%,,
New Jersey,Passaic County,Metro area,18.60%,0.70%,,
